60602,"172,492"
60627,"74,139"
60605,"157,763"
60607,"120,419"
60608,"57,770"
60609,"47,139"
60610,"132,877"
60612,"60,654"
60613,"113,058"
60614,"149,897"
60615,"67,727"
60616,"66,098"
60617,"51,429"
60618,"97,946"
60619,"46,846"
60620,"47,131"
60621,"32,722"
60622,"119,502"
60623,"41,680"
60624,"36,426"
60625,"86,237"
60626,"56,683"
60628,"52,448"
60629,"54,685"
60631,"105,355"
60632,"55,174"
60634,"77,020"
60636,"40,691"
60637,"55,880"
60638,"79,245"
60639,"54,396"
60640,"75,075"
60641,"73,909"
60642,"114,612"
60643,"83,368"
60644,"41,174"
60649,"43,822"
60651,"49,663"
60652,"76,125"
60653,"51,883"
60655,"105,761"
60659,"68,047"
60660,"66,167"
